id,courseID,mod_type,order,chpModPar,seqModPar,vrtModPar,stds,count
401ee1f6f3684be7b6124490f34adc5a,MITxPRO+AMxB+1T2018,html,1,b9dd2cb6d3a44e96aedb515388e02405,5589ca87f02147ec8452cead30cc4d5f,57c4192d1f714350848b1424ce840c75,907,2300
27bf430c96cb4d8da7368c4697de187b,MITxPRO+AMxB+1T2018,html,2,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,723e01f988ce423a9e517f0fc55c8c4f,922,1853
0fec97a46b71456d9d9037e5edac7bb0,MITxPRO+AMxB+1T2018,html,3,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,723e01f988ce423a9e517f0fc55c8c4f,26,29
9b9fc7fd30954d7d9ad7d8f8e1cc11d8,MITxPRO+AMxB+1T2018,problem,4,3237e864a8b44a14b443a0f0a2067c83,a43d4c2220e245c5bb6ef4649f6813e5,9546e9f7f20c4bf2b09c7c839fd67571,930,5195
04d85100616943f8a3d2b084f403ba5f,MITxPRO+AMxB+1T2018,html,5,3e2b8f40ac004d56a2e85e503e0e635b,b4100fe285a442a2ba6de2e94b28642b,6fddc8e62a094b818e30327c45ebf7f3,928,2750
d538c2a9c6004cc3b62a2514ff7d24f5,MITxPRO+AMxB+1T2018,html,6,3e2b8f40ac004d56a2e85e503e0e635b,86f2c3ccbdbd4c6fae404600dd5b1c31,ed96e148091f4ac580863d0666cddbf0,925,5165
8f607acba97e43d5b0426a4cccc4e61f,MITxPRO+AMxB+1T2018,html,7,3e2b8f40ac004d56a2e85e503e0e635b,86f2c3ccbdbd4c6fae404600dd5b1c31,ed96e148091f4ac580863d0666cddbf0,84,113
ea676035d8d84252b7c2c117a74dfe5d,MITxPRO+AMxB+1T2018,html,8,3e2b8f40ac004d56a2e85e503e0e635b,83e51ce161474919a8f63ddbb2279e31,7bb0affec39749ccb472843fe6357924,916,2314
fdccb644786547c5893474584cdfd58b,MITxPRO+AMxB+1T2018,html,9,3e2b8f40ac004d56a2e85e503e0e635b,83e51ce161474919a8f63ddbb2279e31,2271ffc71d94477db9f0744f60958889,913,2523
53e13f644d1f4c73ba7f5bfd8020e71f,MITxPRO+AMxB+1T2018,html,10,3e2b8f40ac004d56a2e85e503e0e635b,bb160d0fff2641898a874eff3944d2b9,93d36cf573ee4b598d03a9f10bf836c6,915,2664
2f6febb9f2514c06827aa6a4bfe1e69d,MITxPRO+AMxB+1T2018,html,11,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,915,2955
44acee2074d5456593cfdab9b680dcab,MITxPRO+AMxB+1T2018,html,12,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,7,8
7e3aba021b714e3180b14422eaf7cacb,MITxPRO+AMxB+1T2018,html,13,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,3,3
f17dc8f749c043d78ae4dfe383e55009,MITxPRO+AMxB+1T2018,html,14,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,3,4
a0077e8aad874abba1a1ec5c20ca947b,MITxPRO+AMxB+1T2018,html,15,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,1,1
7bb3394632054742b3fff216a77b015e,MITxPRO+AMxB+1T2018,html,16,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,4,4
08823b78df0e4a3eb4c35cb2b838dee3,MITxPRO+AMxB+1T2018,html,17,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,2,2
c3c0f88fff1f4523b144a41a6c2dbcd6,MITxPRO+AMxB+1T2018,html,18,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,1,1
3cce707300cc4bb99e13edcd32209318,MITxPRO+AMxB+1T2018,html,19,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,5,6
089719b517f043f5b39636578e7ee001,MITxPRO+AMxB+1T2018,html,20,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,5971e0f6c82d46b5bad210776c113338,24,44
a67e937f9f1941a9bb6052316e2f2fc4,MITxPRO+AMxB+1T2018,html,21,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,913,2394
2349ef7ca9ce436caad6190a30656821,MITxPRO+AMxB+1T2018,html,22,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,3,4
5e49b3b1846c46a188f097e6520c706a,MITxPRO+AMxB+1T2018,html,23,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,0,0
2a112bc1a1e048129e8e68e170e39248,MITxPRO+AMxB+1T2018,html,24,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,3,4
7c052992ccd9437b9b017f4a234bb68c,MITxPRO+AMxB+1T2018,html,25,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,0,0
3bb9151bb02b44c1ab2befefde55671a,MITxPRO+AMxB+1T2018,html,26,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,1,1
918870b390684763bcf0b9c3378c6996,MITxPRO+AMxB+1T2018,html,27,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,cdcf4502ddb3437dbf708e1c4abdedd9,3,12
e42dc56d1f8d46ef902e3d38a93e0324,MITxPRO+AMxB+1T2018,html,28,3e2b8f40ac004d56a2e85e503e0e635b,3c6dc4f66afe4ccfa9f314023a14e19e,20aa687cf89e41ebb555ff6377cc62d5,912,2435
