id,percent_grade,date_joined,enroll_created_date,cert_status,certGrp
11686401,0.38,8/23/2016 22:41,3/8/2019 1:31,,Not certified (> 65% Grade)
15603897,0.02,8/14/2017 13:53,3/8/2019 1:31,,Not certified (> 65% Grade)
11382474,0.4,7/22/2016 12:46,3/8/2019 1:31,,Not certified (> 65% Grade)
20757153,0.02,9/17/2018 17:15,3/8/2019 1:31,,Not certified (> 65% Grade)
11615808,0.34,8/16/2016 20:59,3/8/2019 1:31,,Not certified (> 65% Grade)
17456436,0.62,1/8/2018 20:45,3/8/2019 1:31,,Not certified (> 65% Grade)
3185286,0.47,1/11/2014 18:23,3/8/2019 1:31,,Not certified (> 65% Grade)
11405163,0.39,7/25/2016 11:51,3/8/2019 1:31,,Not certified (> 65% Grade)
11863087,0.08,9/7/2016 1:13,3/8/2019 1:31,,Not certified (> 65% Grade)
11764856,0.54,8/29/2016 20:42,3/8/2019 1:31,,Not certified (> 65% Grade)
11407214,0.47,7/25/2016 15:41,3/8/2019 1:31,,Not certified (> 65% Grade)
22136774,0.07,1/13/2019 5:38,3/8/2019 1:31,,Not certified (> 65% Grade)
20387421,0.13,8/20/2018 18:07,3/8/2019 1:31,,Not certified (> 65% Grade)
11913213,0.39,9/10/2016 23:05,3/8/2019 1:31,,Not certified (> 65% Grade)
11888112,0.44,9/8/2016 19:30,3/8/2019 1:31,,Not certified (> 65% Grade)
18922232,0.54,4/17/2018 17:00,3/8/2019 1:31,,Not certified (> 65% Grade)
17218311,0,12/18/2017 17:28,3/8/2019 1:31,,Not certified (> 65% Grade)
15916291,0.28,9/7/2017 16:04,3/8/2019 1:31,,Not certified (> 65% Grade)
22368716,0.38,1/30/2019 16:49,3/8/2019 1:31,,Not certified (> 65% Grade)
11899953,0.5,9/9/2016 17:12,3/8/2019 1:31,,Not certified (> 65% Grade)
7542749,0.39,7/7/2015 1:16,3/8/2019 1:31,,Not certified (> 65% Grade)
4396150,0.26,5/27/2014 22:34,3/8/2019 1:31,,Not certified (> 65% Grade)
11409312,0,7/25/2016 19:33,3/8/2019 1:31,,Not certified (> 65% Grade)
11932916,0.39,9/12/2016 19:44,3/8/2019 1:31,,Not certified (> 65% Grade)
21235938,0.16,10/23/2018 21:23,3/8/2019 1:31,,Not certified (> 65% Grade)
