source,target,stds,path,dis,sl,weight
00c23be7a0584af395428ab3a704e552,0e3c2d8cac1e44af8bd7fabc48f8d079,2,2,1,0,0.845446668
00c23be7a0584af395428ab3a704e552,1f5002403e13485da7e7b1f5896e81ee,2,2,-5,0,0.845446668
00c23be7a0584af395428ab3a704e552,9af4973779c443ac986aa5b2a63462d6,2,3,-1,0,0.850016795
00c23be7a0584af395428ab3a704e552,c8a31966713e4ef18f4f06cd4a79d374,1,1,2,0,0.840876541
0120d60dd7c74a658f369244cc09a745,0120d60dd7c74a658f369244cc09a745,224,960,0,1,5.223628005
0120d60dd7c74a658f369244cc09a745,1dc93dd0b4a4496884b7a642e928e9d2,1,1,-13,0,0.840876541
0120d60dd7c74a658f369244cc09a745,49ae4fed6c184199bd02484d214fab98,1,1,-7,0,0.840876541
0120d60dd7c74a658f369244cc09a745,51998570743849d09c8854a35fd0e899,1,4,-6,0,0.854586921
0120d60dd7c74a658f369244cc09a745,5fc036d992354184aea63c6a2b129671,4,5,-5,0,0.859157048
0120d60dd7c74a658f369244cc09a745,6223568957ad410cb2ab109abb9d7af1,6,6,-4,0,0.863727175
0120d60dd7c74a658f369244cc09a745,6864be53ce914d5c9666940de4b4c76d,9,9,2,0,0.877437555
0120d60dd7c74a658f369244cc09a745,744dad1a12a449ebbfc22c507e1e0e1f,1,1,-25,0,0.840876541
0120d60dd7c74a658f369244cc09a745,75fdee1a2b714e34bdfdbc1a138d443f,1,1,-1,0,0.840876541
0120d60dd7c74a658f369244cc09a745,7d262be6d9b74836b47447db1b70289d,2,2,22,0,0.845446668
0120d60dd7c74a658f369244cc09a745,7f8714239b3e42749cc5e54064cdf33b,1,1,-2,0,0.840876541
0120d60dd7c74a658f369244cc09a745,8b1109f1bac740fc8974fb4eca386560,1,1,-616,0,0.840876541
0120d60dd7c74a658f369244cc09a745,a0764fe284df432a93f3c3633162d815,1,2,-10,0,0.845446668
0120d60dd7c74a658f369244cc09a745,af0046c8954e4c4dacf9446dd407d0f6,257,276,1,0,2.097661372
0120d60dd7c74a658f369244cc09a745,b44d071a81c142198d7e7ca14f5442f6,1,1,-565,0,0.840876541
0120d60dd7c74a658f369244cc09a745,b87d7692f55a4b3fb61ec362d003f121,1,1,-19,0,0.840876541
0120d60dd7c74a658f369244cc09a745,d75c5a25b091478d9e5fdf297101562d,1,1,10,0,0.840876541
0120d60dd7c74a658f369244cc09a745,fd91554a3bf54ebdbf6ea67124fbd06c,1,1,-22,0,0.840876541
0121a1bd90774a95a014f487a3717bd8,29df4d70694a4f5fb9cf4a296c9d6826,3,3,-1,0,0.850016795
0121a1bd90774a95a014f487a3717bd8,7d04272687d34281b60b3377d46cd231,1,1,-2,0,0.840876541
02c1922963db4602bcd8eb9ddf730b86,1c264c5f7377466b9165af2037ec7924,1,1,119,0,0.840876541
02c1922963db4602bcd8eb9ddf730b86,1dc93dd0b4a4496884b7a642e928e9d2,1,1,138,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,0388b15dc0a94dd4a553c1df67123109,303,927,0,1,5.072813826
0388b15dc0a94dd4a553c1df67123109,0c92f804b6ee498091114e20947b5ca4,2,2,4,0,0.845446668
0388b15dc0a94dd4a553c1df67123109,176c36fa520e4f7eb03738c18bd564a5,1,1,15,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,2352eea7a7014e7990cfd2e3470795a2,1,1,5,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,26772bf1f08f4f96ab44e6007c4c6976,1,1,-158,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,2bbb47defdd44b6e95be6aff50d550d1,2,2,28,0,0.845446668
0388b15dc0a94dd4a553c1df67123109,60fdad9fc19541e3b135991de184af75,1,1,25,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,8a10cc79e71240fbbaef15137c988bf5,1,1,-139,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,8a99f0d5d8164c528a85554f9184271b,1,1,1,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,ab522985e16d436a970f0eda5c9a1591,298,320,2,0,2.298746945
0388b15dc0a94dd4a553c1df67123109,b493f3f110234cfdabab9fc55ba06661,1,2,-1,0,0.845446668
0388b15dc0a94dd4a553c1df67123109,ba8fc22784274180b82fd5ce5c8fcfa5,1,1,-55,0,0.840876541
0388b15dc0a94dd4a553c1df67123109,d1651d2f65e9428693a519450d5f321f,5,5,-2,0,0.859157048
0388b15dc0a94dd4a553c1df67123109,eb58bfe7027d4f70912c319251e6e417,1,1,3,0,0.840876541
03b3a59fd4b5420b8096f9a4f032651c,99042009daed49118fd9cfa1616859d1,1,1,-1,0,0.840876541
043d02d4e89541cdb2c73ca0d2eca377,043d02d4e89541cdb2c73ca0d2eca377,112,203,0,1,1.764042126
043d02d4e89541cdb2c73ca0d2eca377,04d85100616943f8a3d2b084f403ba5f,1,1,-77,0,0.840876541
043d02d4e89541cdb2c73ca0d2eca377,0552f7dc52d14cf5b15daed9c4229342,1,1,106,0,0.840876541
043d02d4e89541cdb2c73ca0d2eca377,0704a9032b0b4dfebc92a428247b2a14,1,1,375,0,0.840876541
043d02d4e89541cdb2c73ca0d2eca377,0809efd87b0c45139a1edc4cc58fd1f5,1,1,236,0,0.840876541
043d02d4e89541cdb2c73ca0d2eca377,083e170a98cc47909270dde338cffbff,5,5,-1,0,0.859157048
043d02d4e89541cdb2c73ca0d2eca377,091e476b9c794d019c1660622a3a12f6,21,23,2,0,0.941419328
043d02d4e89541cdb2c73ca0d2eca377,151ff258d4a74e6dbe9efde0ce31b457,1,1,107,0,0.840876541
043d02d4e89541cdb2c73ca0d2eca377,1afa468dc7ce4b91a590366c2a697707,66,86,16,0,1.229337307
043d02d4e89541cdb2c73ca0d2eca377,1c264c5f7377466b9165af2037ec7924,2,2,617,0,0.845446668
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,244,276,1,0,2.097661372
