source,target,stds,paths,dis,sl,weight
00c23be7a0584af395428ab3a704e552,0e3c2d8cac1e44af8bd7fabc48f8d079,4,4,1,0,0.846512951
00c23be7a0584af395428ab3a704e552,1f5002403e13485da7e7b1f5896e81ee,1,2,-5,0,0.834399801
00c23be7a0584af395428ab3a704e552,aedac84ad12f487db1c88dbe3c82abde,1,1,-18,0,0.828343226
0120d60dd7c74a658f369244cc09a745,0120d60dd7c74a658f369244cc09a745,71,348,0,1,2.929974742
0120d60dd7c74a658f369244cc09a745,6223568957ad410cb2ab109abb9d7af1,2,2,-4,0,0.834399801
0120d60dd7c74a658f369244cc09a745,6864be53ce914d5c9666940de4b4c76d,2,2,2,0,0.834399801
0120d60dd7c74a658f369244cc09a745,6a3fd2c28384465589f148598410fbdd,1,1,-309,0,0.828343226
0120d60dd7c74a658f369244cc09a745,75fdee1a2b714e34bdfdbc1a138d443f,1,1,-1,0,0.828343226
0120d60dd7c74a658f369244cc09a745,af0046c8954e4c4dacf9446dd407d0f6,82,90,1,0,1.367378399
0121a1bd90774a95a014f487a3717bd8,1f5002403e13485da7e7b1f5896e81ee,1,1,-121,0,0.828343226
0121a1bd90774a95a014f487a3717bd8,57b361f6d4ca424299264c668e836e47,1,1,46,0,0.828343226
0121a1bd90774a95a014f487a3717bd8,98a13e95e8484ecb9727be0d96c5a670,1,1,2,0,0.828343226
0388b15dc0a94dd4a553c1df67123109,0388b15dc0a94dd4a553c1df67123109,129,532,0,1,4.044384538
0388b15dc0a94dd4a553c1df67123109,2352eea7a7014e7990cfd2e3470795a2,3,3,5,0,0.840456376
0388b15dc0a94dd4a553c1df67123109,8a99f0d5d8164c528a85554f9184271b,1,1,1,0,0.828343226
0388b15dc0a94dd4a553c1df67123109,98170a572e6644028150554eb5722cb4,1,1,31,0,0.828343226
0388b15dc0a94dd4a553c1df67123109,ab522985e16d436a970f0eda5c9a1591,130,139,2,0,1.664150573
0388b15dc0a94dd4a553c1df67123109,b493f3f110234cfdabab9fc55ba06661,5,6,-1,0,0.858626101
0388b15dc0a94dd4a553c1df67123109,d1651d2f65e9428693a519450d5f321f,4,4,-2,0,0.846512951
0388b15dc0a94dd4a553c1df67123109,d8a02e7515a74c9998f997f6df75771d,1,1,32,0,0.828343226
0388b15dc0a94dd4a553c1df67123109,ecbaf140af704a42a78099a2e680c946,1,1,242,0,0.828343226
03b3a59fd4b5420b8096f9a4f032651c,085d322fab7a4a70bb44caaf20312501,1,1,-2,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,043d02d4e89541cdb2c73ca0d2eca377,106,281,0,1,2.524184219
043d02d4e89541cdb2c73ca0d2eca377,06b02d057d574f24a6cac30186bf0bf2,1,1,285,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,0704a9032b0b4dfebc92a428247b2a14,2,6,375,0,0.858626101
043d02d4e89541cdb2c73ca0d2eca377,083e170a98cc47909270dde338cffbff,6,6,-1,0,0.858626101
043d02d4e89541cdb2c73ca0d2eca377,091e476b9c794d019c1660622a3a12f6,21,22,2,0,0.955531301
043d02d4e89541cdb2c73ca0d2eca377,134da9dee6614b159e933f632fc9246b,1,1,638,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,1afa468dc7ce4b91a590366c2a697707,68,88,16,0,1.355265249
043d02d4e89541cdb2c73ca0d2eca377,1c264c5f7377466b9165af2037ec7924,2,2,617,0,0.834399801
043d02d4e89541cdb2c73ca0d2eca377,1ee01257a4174216a0bf6d64ad67decf,147,207,1,0,2.075997671
043d02d4e89541cdb2c73ca0d2eca377,1f5002403e13485da7e7b1f5896e81ee,1,1,126,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,2126522cd4b94bd68b2999261978d881,2,2,68,0,0.834399801
043d02d4e89541cdb2c73ca0d2eca377,253c3d95e42f47a192997f25c3fd5881,1,1,670,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,26772bf1f08f4f96ab44e6007c4c6976,2,2,81,0,0.834399801
043d02d4e89541cdb2c73ca0d2eca377,27bf430c96cb4d8da7368c4697de187b,1,1,-80,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,2ad839c226ab44539d98e2a1e84e439f,3,3,46,0,0.840456376
043d02d4e89541cdb2c73ca0d2eca377,2bbb47defdd44b6e95be6aff50d550d1,1,2,267,0,0.834399801
043d02d4e89541cdb2c73ca0d2eca377,2bd1769f30ce460b8cf38f3b71207d38,5,5,-14,0,0.852569526
043d02d4e89541cdb2c73ca0d2eca377,2f6febb9f2514c06827aa6a4bfe1e69d,5,6,-71,0,0.858626101
043d02d4e89541cdb2c73ca0d2eca377,3763b9f526ae44f2ac2ac49749c15661,116,235,-10,0,2.24558177
043d02d4e89541cdb2c73ca0d2eca377,401ee1f6f3684be7b6124490f34adc5a,1,1,-81,0,0.828343226
043d02d4e89541cdb2c73ca0d2eca377,432e2e03af924d10b164b60c5fcb86a1,11,12,8,0,0.894965551
043d02d4e89541cdb2c73ca0d2eca377,49bc2f8db38b47f9b378f26dde2a6e64,2,2,54,0,0.834399801
