id,courseID,mod_type,order,chpModLabel,seqModLabel,stds,count,x,y
401ee1f6f3684be7b6124490f34adc5a,MITxPRO+AMxB+1T2018,html,1,"Entrance Survey (5 min, required)",Entrance Survey-Html,163,413,1594.1262f,1048.7539f
27bf430c96cb4d8da7368c4697de187b,MITxPRO+AMxB+1T2018,html,2,"Pre-Assessment (10 min, required)",Pre-Assessment-Html,168,322,1580.7435f,1018.63403f
0fec97a46b71456d9d9037e5edac7bb0,MITxPRO+AMxB+1T2018,html,3,"Pre-Assessment (10 min, required)",Pre-Assessment-Html,6,6,1598.8334f,1135.2795f
9b9fc7fd30954d7d9ad7d8f8e1cc11d8,MITxPRO+AMxB+1T2018,problem,4,"Pre-Assessment (10 min, required)",Pre-Assessment Completion Confirmation,172,954,1549.503f,1036.6296f
04d85100616943f8a3d2b084f403ba5f,MITxPRO+AMxB+1T2018,html,5,Get Started (25 min),Welcome-Html,170,472,1505.2043f,1015.3352f
d538c2a9c6004cc3b62a2514ff7d24f5,MITxPRO+AMxB+1T2018,html,6,Get Started (25 min),Schedule-Html,168,825,1428.7627f,978.5307f
8f607acba97e43d5b0426a4cccc4e61f,MITxPRO+AMxB+1T2018,html,7,Get Started (25 min),Schedule-Html,16,20,1457.319f,1055.2164f
ea676035d8d84252b7c2c117a74dfe5d,MITxPRO+AMxB+1T2018,html,8,Get Started (25 min),Discussion Forum-Html,162,345,1362.5731f,1000.16626f
fdccb644786547c5893474584cdfd58b,MITxPRO+AMxB+1T2018,html,9,Get Started (25 min),Discussion Etiquette-Html,161,422,1323.4915f,1011.3355f
53e13f644d1f4c73ba7f5bfd8020e71f,MITxPRO+AMxB+1T2018,html,10,Get Started (25 min),Tell Us About Yourself-IFrame Tool,162,444,1291.6849f,1022.1271f
2f6febb9f2514c06827aa6a4bfe1e69d,MITxPRO+AMxB+1T2018,html,11,Get Started (25 min),MIT Instructors-Html,162,382,1252.2881f,1039.4254f
44acee2074d5456593cfdab9b680dcab,MITxPRO+AMxB+1T2018,html,12,Get Started (25 min),MIT Instructors-Html,1,1,890.0381f,1091.7378f
7e3aba021b714e3180b14422eaf7cacb,MITxPRO+AMxB+1T2018,html,13,Get Started (25 min),MIT Instructors-Html,1,1,-747.6559f,2164.5066f
f17dc8f749c043d78ae4dfe383e55009,MITxPRO+AMxB+1T2018,html,14,Get Started (25 min),MIT Instructors-Html,0,0,-2062.1084f,318.38113f
a0077e8aad874abba1a1ec5c20ca947b,MITxPRO+AMxB+1T2018,html,15,Get Started (25 min),MIT Instructors-Html,0,0,-2012.4753f,-854.1555f
7bb3394632054742b3fff216a77b015e,MITxPRO+AMxB+1T2018,html,16,Get Started (25 min),MIT Instructors-Html,1,1,-734.5486f,2197.8376f
08823b78df0e4a3eb4c35cb2b838dee3,MITxPRO+AMxB+1T2018,html,17,Get Started (25 min),MIT Instructors-Html,0,0,-1895.0978f,-493.4822f
c3c0f88fff1f4523b144a41a6c2dbcd6,MITxPRO+AMxB+1T2018,html,18,Get Started (25 min),MIT Instructors-Html,0,0,-689.00635f,-2127.295f
3cce707300cc4bb99e13edcd32209318,MITxPRO+AMxB+1T2018,html,19,Get Started (25 min),MIT Instructors-Html,2,2,2150.6782f,500.75342f
089719b517f043f5b39636578e7ee001,MITxPRO+AMxB+1T2018,html,20,Get Started (25 min),MIT Instructors-Html,2,8,1340.1127f,702.4627f
a67e937f9f1941a9bb6052316e2f2fc4,MITxPRO+AMxB+1T2018,html,21,Get Started (25 min),MIT Course Assistants-Html,159,329,1212.0731f,1051.4388f
2349ef7ca9ce436caad6190a30656821,MITxPRO+AMxB+1T2018,html,22,Get Started (25 min),MIT Course Assistants-Html,0,0,-2175.0642f,132.66176f
5e49b3b1846c46a188f097e6520c706a,MITxPRO+AMxB+1T2018,html,23,Get Started (25 min),MIT Course Assistants-Html,0,0,-1931.389f,1561.192f
2a112bc1a1e048129e8e68e170e39248,MITxPRO+AMxB+1T2018,html,24,Get Started (25 min),MIT Course Assistants-Html,1,2,-2181.5466f,153.2446f
7c052992ccd9437b9b017f4a234bb68c,MITxPRO+AMxB+1T2018,html,25,Get Started (25 min),MIT Course Assistants-Html,0,0,-2157.685f,503.03604f
3bb9151bb02b44c1ab2befefde55671a,MITxPRO+AMxB+1T2018,html,26,Get Started (25 min),MIT Course Assistants-Html,0,0,2156.6323f,451.77716f
918870b390684763bcf0b9c3378c6996,MITxPRO+AMxB+1T2018,html,27,Get Started (25 min),MIT Course Assistants-Html,0,0,2341.113f,343.01328f
e42dc56d1f8d46ef902e3d38a93e0324,MITxPRO+AMxB+1T2018,html,28,Get Started (25 min),Boeing Course Assistants-Html,159,313,1180.1196f,1065.669f
63ef1fedf15b403ca346c0f4fdc8f5f0,MITxPRO+AMxB+1T2018,html,29,Get Started (25 min),Boeing Course Assistants-Html,1,1,870.34296f,960.68823f
2e1dcff64f8741438099a3b28ba6c42d,MITxPRO+AMxB+1T2018,html,30,Get Started (25 min),MIT Content Development Team-Html,159,538,1145.2087f,1084.8075f
c140d98e51f54581a920893152b0f146,MITxPRO+AMxB+1T2018,html,31,Get Started (25 min),MIT Content Development Team-Html,2,5,-1571.5526f,1810.1288f
25021407d2a44c0fa46f4da39b61fe4f,MITxPRO+AMxB+1T2018,html,32,Get Started (25 min),MIT Content Development Team-Html,0,0,-2155.8958f,607.0869f
b2b776cf636d43d6aa8a52e423152e95,MITxPRO+AMxB+1T2018,html,33,Get Started (25 min),MIT Content Development Team-Html,0,0,2134.049f,551.33234f
e1ff89042b1e4cadb4f35e7242eaa6fb,MITxPRO+AMxB+1T2018,html,34,Get Started (25 min),MIT Content Development Team-Html,0,0,-2096.8723f,425.92313f
d2dbdeb207154c9ea7d8352623a66120,MITxPRO+AMxB+1T2018,html,35,Get Started (25 min),MIT Content Development Team-Html,0,0,-2070.5007f,-708.49695f
31c64d65a2a64134a5c3d04a58fea33d,MITxPRO+AMxB+1T2018,html,36,Get Started (25 min),MIT Content Development Team-Html,0,0,1252.5759f,-1768.6469f
15f09ebf2d5a45c092b05b8bd0cd7eca,MITxPRO+AMxB+1T2018,html,37,Get Started (25 min),MIT Content Development Team-Html,0,0,2083.841f,714.6901f
8357d3333918468189fd75d0c4a4efea,MITxPRO+AMxB+1T2018,html,38,Get Started (25 min),MIT Content Development Team-Html,0,0,-1350.2896f,-1942.3717f
2c1571ccf4ea48f190dede924d64978a,MITxPRO+AMxB+1T2018,html,39,Get Started (25 min),MIT Content Development Team-Html,1,2,-1840.9948f,-1431.6681f
1b1d901e57774ed4aac7ad952c9bb03d,MITxPRO+AMxB+1T2018,html,40,Get Started (25 min),MIT Content Development Team-Html,0,0,-1692.0028f,1539.8129f
1a49b1a14dc74ea4a854a58957a1ff70,MITxPRO+AMxB+1T2018,html,41,Get Started (25 min),MIT Content Development Team-Html,1,1,-1149.6349f,-2018.265f
2e3b229ed3c6436dbb293d0bede84f69,MITxPRO+AMxB+1T2018,html,42,Get Started (25 min),MIT Content Development Team-Html,1,1,1966.078f,-987.7039f
900887df98e3499f8fd3ca09e1e84d3a,MITxPRO+AMxB+1T2018,html,43,Get Started (25 min),Industry Experts-Html,39,107,1121.4802f,1049.4805f
5769eefe272745138fb9673656879d27,MITxPRO+AMxB+1T2018,html,44,Get Started (25 min),Industry Experts-Html,1,1,2125.0815f,626.257f
8e1e4a26d798445eb4f2208dbbe4c304,MITxPRO+AMxB+1T2018,html,45,Get Started (25 min),Industry Experts-Html,0,0,-2033.9934f,1421.1215f
c26a191d2d854bc08f0bb2d00bddf949,MITxPRO+AMxB+1T2018,html,46,Get Started (25 min),Industry Experts-Html,0,0,1989.6506f,862.50757f
