id,courseID,mod_type,order,chapterModLabel,stds,count,x,y
b613861cecf84ffcab01afb23f660475,MITxPRO+LASERxB1+1T2019,problem,1,Week 0: Get Started (40 min),34,236,-882.02423f,2054.1257f
e2911e79efc2420eac45d9f671463d4b,MITxPRO+LASERxB1+1T2019,problem,2,Week 0: Get Started (40 min),34,247,-758.68823f,2250.8474f
519d1b8c59404d67b54e96c5c8a830b2,MITxPRO+LASERxB1+1T2019,problem,3,Week 0: Get Started (40 min),34,84,-902.5562f,2516.3157f
531db53f81f646edb0cdcfe0085b03b7,MITxPRO+LASERxB1+1T2019,problem,4,Week 0: Get Started (40 min),34,79,-943.9201f,2620.5632f
4f5f94b2f95141e0a9d53a61da2276da,MITxPRO+LASERxB1+1T2019,problem,5,Week 0: Get Started (40 min),34,81,-963.7683f,2726.7637f
6d541c89590949f99af293c4f2333f67,MITxPRO+LASERxB1+1T2019,problem,6,Week 0: Get Started (40 min),34,80,-938.30414f,2832.7026f
dd5cf0b9fe4c4f1d8f5ff8e4c04879cb,MITxPRO+LASERxB1+1T2019,problem,7,Week 0: Get Started (40 min),34,87,-854.4911f,2909.4714f
f96261861edc426abe2248be4f0a709a,MITxPRO+LASERxB1+1T2019,problem,8,Week 0: Get Started (40 min),34,80,-735.36957f,2890.4758f
66b5e16f4f75454fb5b8172079f0fa83,MITxPRO+LASERxB1+1T2019,problem,9,Week 0: Get Started (40 min),34,85,-662.53107f,2803.362f
0680571d4698477995e41842c36a54b2,MITxPRO+LASERxB1+1T2019,problem,10,Week 0: Get Started (40 min),34,80,-636.71423f,2694.941f
9112f2bffece48e08c6d2287be204085,MITxPRO+LASERxB1+1T2019,problem,11,Week 0: Get Started (40 min),34,85,-636.78925f,2572.013f
56586aa865414f538729c7f7735d2bc6,MITxPRO+LASERxB1+1T2019,video,12,Week 0: Get Started (40 min),34,414,-530.782f,2068.7922f
b7f2b31585d94eb3bf86376714aa7070,MITxPRO+LASERxB1+1T2019,video,13,Week 0: Get Started (40 min),33,201,-411.85645f,2177.3916f
3f1c815879794b929260d224becaff7e,MITxPRO+LASERxB1+1T2019,html,14,Week 0: Get Started (40 min),32,61,-289.77197f,2154.0527f
81c864a886d54a6b8ff85f7d736f4f95,MITxPRO+LASERxB1+1T2019,video,15,Week 0: Get Started (40 min),32,51,-264.0443f,2040.4062f
eb2a0eb537344a9e891c761662e400b6,MITxPRO+LASERxB1+1T2019,html,16,Week 0: Get Started (40 min),12,25,-158.67128f,1910.0199f
5c5ceeee4562457ba6d41515aeebfbb1,MITxPRO+LASERxB1+1T2019,video,17,Week 0: Get Started (40 min),33,149,-342.94745f,1975.0068f
9afd71a5298d4333b6849dfce1b9422c,MITxPRO+LASERxB1+1T2019,html,18,Week 0: Get Started (40 min),34,146,-462.9938f,1661.4784f
daf8890a3c354459b8a962529aceb072,MITxPRO+LASERxB1+1T2019,html,19,Week 0: Get Started (40 min),0,0,-699.2249f,1571.3026f
b7719e26494940efa49512aedd0aac79,MITxPRO+LASERxB1+1T2019,html,20,Week 0: Get Started (40 min),34,221,-390.83884f,1127.1227f
a49d1bb4328949299686242fd0be5584,MITxPRO+LASERxB1+1T2019,html,21,Week 0: Get Started (40 min),19,64,-240.51755f,1250.1812f
d4c3b003e8274e429d2fa688d73fde6d,MITxPRO+LASERxB1+1T2019,video,22,Week 0: Get Started (40 min),32,161,-494.42987f,1303.4738f
b3323dfcc2d246d599e1c43b6be7751c,MITxPRO+LASERxB1+1T2019,html,23,Week 0: Get Started (40 min),0,0,-884.5601f,1250.509f
d4f45188d3c84a02ba08454e6403a818,MITxPRO+LASERxB1+1T2019,lti_consumer,24,Week 0: Get Started (40 min),32,76,-376.77124f,1319.816f
a8f52a1637e44afd96e621bf9efb473f,MITxPRO+LASERxB1+1T2019,html,25,Week 0: Get Started (40 min),0,0,-879.8314f,50.034958f
5bc03c8f16354d04bd51f5bb93559ad3,MITxPRO+LASERxB1+1T2019,lti_consumer,26,Week 0: Get Started (40 min),5,6,-493.14594f,1423.5538f
a23ae40d7a9e4ee4828cc06415a3218c,MITxPRO+LASERxB1+1T2019,html,27,Week 0: Get Started (40 min),4,4,29.82773f,760.49097f
afbf7250b99d47bea07172749483ca97,MITxPRO+LASERxB1+1T2019,html,28,Week 0: Get Started (40 min),34,131,-359.86566f,937.4222f
4e51676dc72045d99c19b9fa7b22f8bc,MITxPRO+LASERxB1+1T2019,html,29,Week 0: Get Started (40 min),34,184,-355.377f,754.9117f
78ff5a07ecb5453ca82361aabca7c5ba,MITxPRO+LASERxB1+1T2019,html,30,Week 0: Get Started (40 min),0,0,940.52094f,-836.07135f
51970cfa30e643e894e66ae85c8024cc,MITxPRO+LASERxB1+1T2019,html,31,Week 0: Get Started (40 min),34,51,-310.136f,666.89703f
c9c52446b6294aa5a9c2abaed536c37e,MITxPRO+LASERxB1+1T2019,html,32,Week 0: Get Started (40 min),8,14,-526.22876f,755.1157f
0c253dd0ca8e4fc3893a27d753757ef5,MITxPRO+LASERxB1+1T2019,html,33,Week 0: Get Started (40 min),0,0,-454.7823f,1017.62665f
c33c17be71ae4d588da7369472e5bb1b,MITxPRO+LASERxB1+1T2019,html,34,Week 0: Get Started (40 min),34,133,-406.7097f,565.7859f
93679be414554a11b1893002f2229a93,MITxPRO+LASERxB1+1T2019,html,35,Week 0: Get Started (40 min),34,108,-534.9566f,524.1879f
7040a13096d746ac84b8fac8d9752058,MITxPRO+LASERxB1+1T2019,html,36,Week 0: Get Started (40 min),34,106,-647.9163f,513.15f
9a0dc646f934470daf08c4b56ccf73db,MITxPRO+LASERxB1+1T2019,html,37,Week 0: Get Started (40 min),34,113,-760.65265f,529.37463f
fc0e049d56024bc9a02c9a9c435c3df7,MITxPRO+LASERxB1+1T2019,html,38,Week 0: Get Started (40 min),34,126,-889.0196f,563.16693f
